"block","r","obs","lo","hi"
2,456,178.139662123807,-18.3820763509169,11.1214280722911
2,480,182.968056392902,-19.5745873192923,10.3076837899181
2,504,185.346085210517,-20.20124946543,11.1560962982268
2,528,186.180576259213,-17.5944382733402,11.8226690988489
2,552,186.928925646854,-18.3688867188154,14.4816089702299
2,576,188.247785851001,-18.9293809801477,16.213124292552
2,600,187.145434172086,-20.5498923844102,17.9760665808643
2,624,188.207780805198,-19.5817631550736,17.8990197171062
2,648,186.737385999397,-20.3338708849351,18.7114595741559
2,672,188.161827091397,-19.2059464930858,18.4089170185845
2,696,188.276513563027,-19.6093000910848,17.3815624346765
2,720,189.120283426419,-21.2449212323921,19.1845399917415
2,744,190.292606566408,-20.4740271640418,19.2828450016434
2,768,190.016546154749,-20.5662872435233,19.163678910116
2,792,190.736009127163,-21.9065116150135,17.9177146324092
2,816,193.162468813876,-21.7212650090835,19.4738863864783
2,840,193.886639892981,-19.8062910735083,19.3288293057129
2,864,194.644650287941,-17.2845747045222,22.2357415064714
2,888,195.890179955887,-17.8462640006608,24.131110645669
2,912,196.271850791469,-17.9573631658934,23.5173875081509
2,936,197.531075277627,-18.0341825480251,22.9161008264355
2,960,196.342051271289,-17.9255161286327,25.3826115754238
2,984,194.86065002874,-18.5072216424275,24.3570143313207
2,1008,194.865606352216,-18.833364272601,23.4541232474542
2,1032,193.805512419824,-20.3057409610667,26.0123445854761
2,1056,193.845003227269,-20.6575576959935,26.9846126257062
2,1080,193.726201228881,-20.3931460542155,27.0133426855662
2,1104,193.375775886403,-21.4619873654144,27.2949417288105
2,1128,192.591706554308,-21.0329833378,28.0057470269353
2,1152,193.623980456827,-21.4798643760678,30.0432218153937
2,1176,192.556419504309,-21.3589713193546,29.3816009117365
2,1200,191.318776113855,-21.6571364141621,29.1184891340338
2,1224,189.744957848137,-22.0907743567611,29.6432272603256
2,1248,189.327464657931,-22.1176828668131,29.3105055589479
2,1272,189.671967267478,-22.497417132538,29.1569140210781
2,1296,189.187311054277,-22.6092272139915,28.1118172286183
2,1320,189.198535323173,-22.2415902771579,28.0097279114452
