"block","r","obs","lo","hi"
5,648,1304.71345747264,-10.1239861568885,4.501485760268
5,672,1307.06555247447,-10.8838290913568,4.63224233193239
5,696,1309.12914493938,-11.0286086381387,4.59312566353219
5,720,1310.36436975522,-10.936710572562,5.19609198965884
5,744,1311.26784789413,-10.8887870608019,5.76852038822778
5,768,1312.17045419872,-10.7025412779111,5.91693735715387
5,792,1312.52226196497,-11.1334969268004,6.44849742269741
5,816,1311.5968548692,-11.7985058850339,6.93327998211146
5,840,1309.1065558088,-11.7466215820408,6.9403030326564
5,864,1305.92572308353,-11.4132141915295,6.87906009551602
5,888,1302.66926611573,-11.8125603878982,7.09449510996001
5,912,1299.31172560569,-11.9989134302783,7.52556288420624
5,936,1296.20773355126,-12.1776700075528,7.76448543026584
5,960,1293.46889800434,-12.6658661534248,7.74454013355751
5,984,1290.12547127722,-12.8214395676548,7.97101929444455
5,1008,1285.9506346329,-13.0355151603884,7.71314909310263
5,1032,1282.07663964194,-13.7830626312564,7.78789827679475
5,1056,1278.50947322923,-13.6716703584777,7.87876095212209
5,1080,1274.42266263953,-13.2905192579026,7.83215094878983
5,1104,1270.18609312674,-13.8417772432276,8.10356136271139
5,1128,1266.15682245717,-13.9364828867338,8.82623581635971
5,1152,1262.46151387396,-14.4043949299744,9.36504485010437
5,1176,1258.61256306468,-14.5995743189312,9.79363910242273
5,1200,1254.35063908155,-14.9978679540441,9.86611178807334
5,1224,1250.00027538979,-15.2297844282505,10.0425418956952
5,1248,1245.31537776072,-15.4374650475104,10.6037818818602
5,1272,1240.1755958614,-15.4065021996787,10.783036502289
5,1296,1234.9207912632,-15.6967031811478,11.0180210348508
5,1320,1230.15780096035,-15.8738720073027,11.1838524806494
5,1344,1226.02300142855,-16.2639264980398,10.6688079526268
5,1368,1221.60128647282,-16.6158365279366,10.9519047039946
